mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin
27	26	311/4	311/4	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	210	wie										
27	26	301/4	301/4	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	211									33		
27	26	309/4	309/4	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	212											
27	26	301/4	301/4	2.0	0	0	Chord	3/4	3	1	1/2		1/2	1	213									34		
27	26	309/4	309/4	1.0	1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	214											
28	27	313/4	313/4	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	215	weit										
28	27	319/4	319/4	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	216	noch										
28	27	321/4	321/4	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	217	bis										
28	27	81	81	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	218	zur										
28	27	313/4	313/4	0.0	0	0	Chord	3/4	2	1	0	grace32	1/32	1	219											
28	27	313/4	313/4	0.0	0	0	Chord	3/4	2	1	0	grace32	1/32	1	220											
28	27	313/4	313/4	1.5	0	0	Chord	3/4	2	1	3/8		1/4	3/2	221			articAccentBelow						35		
28	27	319/4	319/4	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	222									35		
28	27	321/4	321/4	0.75	1/2	1/2	Chord	3/4	2	1	3/16		1/8	3/2	223									35		
28	27	81	81	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	224									35		
28	27	313/4	313/4	0.0	0	0	Chord	3/4	3	1	0	grace32	1/32	1	225											
28	27	313/4	313/4	0.0	0	0	Chord	3/4	3	1	0	grace32	1/32	1	226											
28	27	313/4	313/4	1.5	0	0	Chord	3/4	3	1	3/8		1/4	3/2	227			articAccentBelow						36		
28	27	319/4	319/4	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	228									36		
28	27	321/4	321/4	0.75	1/2	1/2	Chord	3/4	3	1	3/16		1/8	3/2	229									36		
28	27	81	81	0.25	11/16	11/16	Chord	3/4	3	1	1/16		1/16	1	230									36		
29	28	325/4	325/4	0.0	0	0	Chord	3/4	1	1	0	grace32	1/32	1	231											
29	28	325/4	325/4	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	232	Bah-										
29	28	327/4	327/4	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	233	-re!										
29	28	325/4	325/4	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	234									37		
